n              Eps                 dq*fnorm            
0              1.6583123952        1.6583123952        
1              1.3880927863        1.3880927863        
2              1.1619050723        1.1619050723        
3              0.9725743194        0.9725743194        
4              0.8140947392        0.8140947392        
5              0.6814391777        0.6814391777        
6              0.5703996482        0.5703996482        
7              0.4774538496        0.4774538496        
8              0.3996534346        0.3996534346        
9              0.3345304849        0.3345304849        
10             0.2800192257        0.2800192257        
11             0.2343904974        0.2343904974        
12             0.1961969045        0.1961969045        
13             0.1642269024        0.1642269024        
14             0.1374663659        0.1374663659        
15             0.1150664202        0.1150664202        
16             0.0963165133        0.0963165133        
17             0.0806218766        0.0806218766        
18             0.0674846583        0.0674846583        
19             0.0564881307        0.0564881307        
20             0.0472834714        0.0472834714        
21             0.0395786981        0.0395786981        
22             0.0331294064        0.0331294064        
23             0.0277310175        0.0277310175        
24             0.0232122883        0.0232122883        
25             0.0194298794        0.0194298794        
26             0.0162638086        0.0162638086        
27             0.0136136445        0.0136136445        
28             0.0113953208        0.0113953208        
29             0.0095384698        0.0095384698        
30             0.0079841899        0.0079841899        
31             0.0066831777        0.0066831777        
32             0.0055941635        0.0055941635        
33             0.0046826027        0.0046826027        
34             0.0039195793        0.0039195793        
35             0.0032808895        0.0032808895        
36             0.0027462733        0.0027462733        
37             0.0022987721        0.0022987721        
38             0.0019241905        0.0019241905        
39             0.0016106464        0.0016106464        
40             0.0013481939        0.0013481939        
41             0.0011285077        0.0011285077        
42             0.0009446190        0.0009446190        
43             0.0007906947        0.0007906947        
44             0.0006618521        0.0006618521        
45             0.0005540043        0.0005540043        
46             0.0004637301        0.0004637301        
47             0.0003881659        0.0003881659        
48             0.0003249149        0.0003249149        
49             0.0002719704        0.0002719704        
50             0.0002276533        0.0002276533        
51             0.0001905575        0.0001905575        
52             0.0001595064        0.0001595064        
53             0.0001335151        0.0001335151        
54             0.0001117590        0.0001117590        
55             0.0000935480        0.0000935480        
56             0.0000783045        0.0000783045        
57             0.0000655449        0.0000655449        
58             0.0000548645        0.0000548645        
59             0.0000459244        0.0000459244        
60             0.0000384411        0.0000384411        
61             0.0000321771        0.0000321771        
62             0.0000269339        0.0000269339        
63             0.0000225451        0.0000225451        
64             0.0000188714        0.0000188714        
65             0.0000157963        0.0000157963        
66             0.0000132223        0.0000132223        
67             0.0000110678        0.0000110678        
68             0.0000092643        0.0000092643        
69             0.0000077547        0.0000077547        
70             0.0000064911        0.0000064911        
71             0.0000054334        0.0000054334        
72             0.0000045480        0.0000045480        
73             0.0000038069        0.0000038069        
74             0.0000031866        0.0000031866        
75             0.0000026673        0.0000026673        
76             0.0000022327        0.0000022327        
77             0.0000018689        0.0000018689        
78             0.0000015644        0.0000015644        
79             0.0000013094        0.0000013094        
80             0.0000010961        0.0000010961        
81             0.0000009175        0.0000009175        
82             0.0000007680        0.0000007680        
83             0.0000006428        0.0000006428        
84             0.0000005381        0.0000005381        
85             0.0000004504        0.0000004504        
86             0.0000003770        0.0000003770        
87             0.0000003156        0.0000003156        
88             0.0000002642        0.0000002642        
89             0.0000002211        0.0000002211        
90             0.0000001851        0.0000001851        
91             0.0000001549        0.0000001549        
92             0.0000001297        0.0000001297        
93             0.0000001085        0.0000001085        
94             0.0000000909        0.0000000909        
95             0.0000000761        0.0000000761        
96             0.0000000637        0.0000000637        
97             0.0000000533        0.0000000533        
98             0.0000000446        0.0000000446        
99             0.0000000373        0.0000000373        
100            0.0000000313        0.0000000313        
101            0.0000000262        0.0000000262        
102            0.0000000219        0.0000000219        
103            0.0000000183        0.0000000183        
104            0.0000000153        0.0000000153        
105            0.0000000128        0.0000000128        
106            0.0000000107        0.0000000107        
107            0.0000000090        0.0000000090        
108            0.0000000075        0.0000000075        
109            0.0000000063        0.0000000063        
