n              Eps                 dq*fnorm            
163            0.0028418191        0.0064417274        
164            0.0027336519        0.0061965391        
165            0.0026296020        0.0059606833        
166            0.0025295124        0.0057338048        
167            0.0024332326        0.0055155618        
168            0.0023406174        0.0053056258        
169            0.0022515275        0.0051036804        
170            0.0021658285        0.0049094215        
171            0.0020833915        0.0047225567        
172            0.0020040923        0.0045428043        
173            0.0019278114        0.0043698938        
174            0.0018544339        0.0042035648        
175            0.0017838494        0.0040435666        
176            0.0017159516        0.0038896583        
177            0.0016506381        0.0037416082        
178            0.0015878106        0.0035991932        
179            0.0015273745        0.0034621989        
180            0.0014692387        0.0033304190        
181            0.0014133158        0.0032036549        
182            0.0013595214        0.0030817158        
183            0.0013077746        0.0029644180        
184            0.0012579973        0.0028515848        
185            0.0012101148        0.0027430463        
186            0.0011640548        0.0026386391        
187            0.0011197479        0.0025382059        
188            0.0010771275        0.0024415955        
189            0.0010361293        0.0023486622        
190            0.0009966916        0.0022592663        
191            0.0009587550        0.0021732729        
192            0.0009222624        0.0020905527        
193            0.0008871587        0.0020109811        
194            0.0008533913        0.0019344381        
195            0.0008209090        0.0018608085        
196            0.0007896632        0.0017899815        
197            0.0007596066        0.0017218503        
198            0.0007306941        0.0016563124        
199            0.0007028820        0.0015932690        
200            0.0006761286        0.0015326252        
201            0.0006503934        0.0014742897        
202            0.0006256378        0.0014181745        
203            0.0006018245        0.0013641952        
204            0.0005789175        0.0013122706        
205            0.0005568825        0.0012623223        
206            0.0005356861        0.0012142751        
207            0.0005152966        0.0011680568        
208            0.0004956831        0.0011235976        
209            0.0004768162        0.0010808307        
210            0.0004586673        0.0010396915        
211            0.0004412093        0.0010001183        
212            0.0004244158        0.0009620513        
213            0.0004082614        0.0009254332        
214            0.0003927220        0.0008902089        
215            0.0003777740        0.0008563253        
216            0.0003633950        0.0008237314        
217            0.0003495633        0.0007923782        
218            0.0003362580        0.0007622183        
219            0.0003234592        0.0007332063        
220            0.0003111475        0.0007052987        
221            0.0002993045        0.0006784532        
222            0.0002879122        0.0006526296        
223            0.0002769535        0.0006277889        
224            0.0002664120        0.0006038937        
225            0.0002562717        0.0005809080        
226            0.0002465173        0.0005587972        
227            0.0002371343        0.0005375279        
228            0.0002281083        0.0005170683        
229            0.0002194260        0.0004973874        
230            0.0002110741        0.0004784556        
231            0.0002030401        0.0004602443        
232            0.0001953119        0.0004427263        
233            0.0001878778        0.0004258750        
234            0.0001807267        0.0004096652        
235            0.0001738478        0.0003940723        
236            0.0001672307        0.0003790729        
237            0.0001608655        0.0003646444        
238            0.0001547425        0.0003507652        
239            0.0001488527        0.0003374142        
240            0.0001431869        0.0003245713        
241            0.0001377369        0.0003122173        
242            0.0001324943        0.0003003336        
243            0.0001274512        0.0002889021        
244            0.0001226001        0.0002779058        
245            0.0001179336        0.0002673280        
246            0.0001134448        0.0002571528        
247            0.0001091268        0.0002473649        
248            0.0001049732        0.0002379496        
249            0.0001009776        0.0002288926        
250            0.0000971342        0.0002201804        
251            0.0000934370        0.0002117998        
252            0.0000898805        0.0002037382        
253            0.0000864595        0.0001959834        
254            0.0000831686        0.0001885238        
255            0.0000800030        0.0001813481        
256            0.0000769579        0.0001744455        
257            0.0000740287        0.0001678057        
258            0.0000712110        0.0001614186        
259            0.0000685005        0.0001552746        
260            0.0000658932        0.0001493645        
261            0.0000633851        0.0001436793        
262            0.0000609725        0.0001382105        
263            0.0000586518        0.0001329498        
264            0.0000564193        0.0001278894        
265            0.0000542719        0.0001230216        
266            0.0000522061        0.0001183391        
267            0.0000502191        0.0001138348        
268            0.0000483076        0.0001095020        
269            0.0000464689        0.0001053341        
270            0.0000447002        0.0001013248        
271            0.0000429988        0.0000974681        
272            0.0000413621        0.0000937583        
273            0.0000397878        0.0000901896        
274            0.0000382734        0.0000867567        
275            0.0000368166        0.0000834546        
276            0.0000354152        0.0000802781        
277            0.0000340672        0.0000772225        
278            0.0000327706        0.0000742832        
279            0.0000315232        0.0000714558        
280            0.0000303234        0.0000687360        
281            0.0000291692        0.0000661197        
282            0.0000280589        0.0000636031        
283            0.0000269910        0.0000611822        
284            0.0000259636        0.0000588534        
285            0.0000249754        0.0000566133        
286            0.0000240247        0.0000544585        
287            0.0000231103        0.0000523856        
288            0.0000222307        0.0000503917        
289            0.0000213845        0.0000484737        
290            0.0000205706        0.0000466287        
291            0.0000197876        0.0000448539        
292            0.0000190344        0.0000431466        
293            0.0000183099        0.0000415043        
294            0.0000176130        0.0000399246        
295            0.0000169426        0.0000384049        
296            0.0000162977        0.0000369432        
297            0.0000156774        0.0000355370        
298            0.0000150807        0.0000341844        
299            0.0000145067        0.0000328832        
