                   x                   y           Exact Solution        Computed Solution               Error
   0.066666666666667   0.066666666666667        0.000328331350209        0.001028829602045   0.000700498251835
   0.066666666666667   0.200000000000000        0.000844280614824        0.001851662805525   0.001007382190701
   0.066666666666667   0.333333333333333        0.001172611965033        0.002383280748714   0.001210668783682
   0.066666666666667   0.466666666666667        0.001313325400837        0.002585610292583   0.001272284891747
   0.066666666666667   0.600000000000000        0.001266420922235        0.002442106602584   0.001175685680348
   0.066666666666667   0.733333333333333        0.001031898529229        0.001950332491202   0.000918433961973
   0.200000000000000   0.066666666666667        0.000844280614824        0.001851662805525   0.001007382190701
   0.200000000000000   0.200000000000000        0.002171007295261        0.003269437296997   0.001098430001736
   0.200000000000000   0.333333333333333        0.003015287910084        0.004171096811074   0.001155808900990
   0.200000000000000   0.466666666666667        0.003377122459294        0.004508004460060   0.001130882000766
   0.200000000000000   0.600000000000000        0.003256510942891        0.004255313608858   0.000998802665967
   0.200000000000000   0.733333333333333        0.002653453360874        0.003407183459585   0.000753730098711
   0.333333333333333   0.066666666666667        0.001172611965033        0.002383280748715   0.001210668783682
   0.333333333333333   0.200000000000000        0.003015287910084        0.004171096811074   0.001155808900990
   0.333333333333333   0.333333333333333        0.004187899875117        0.005296019808608   0.001108119933491
   0.333333333333333   0.466666666666667        0.004690447860131        0.005711064301916   0.001020616441785
   0.333333333333333   0.600000000000000        0.004522931865126        0.005389101042045   0.000866169176919
   0.333333333333333   0.733333333333333        0.003685351890103        0.004321252503897   0.000635900613794
   0.466666666666667   0.066666666666667        0.001313325400837        0.002585610292583   0.001272284891747
   0.466666666666667   0.200000000000000        0.003377122459294        0.004508004460060   0.001130882000766
   0.466666666666667   0.333333333333333        0.004690447860131        0.005711064301916   0.001020616441785
   0.466666666666667   0.466666666666667        0.005253301603346        0.006152374856966   0.000899073253620
   0.466666666666667   0.600000000000000        0.005065683688941        0.005805476646111   0.000739792957170
   0.466666666666667   0.733333333333333        0.004127594116915        0.004659601647149   0.000532007530234
   0.600000000000000   0.066666666666667        0.001266420922235        0.002442106602584   0.001175685680348
   0.600000000000000   0.200000000000000        0.003256510942891        0.004255313608858   0.000998802665967
   0.600000000000000   0.333333333333333        0.004522931865126        0.005389101042045   0.000866169176919
   0.600000000000000   0.466666666666667        0.005065683688941        0.005805476646111   0.000739792957170
   0.600000000000000   0.600000000000000        0.004884766414336        0.005480229188674   0.000595462774338
   0.600000000000000   0.733333333333333        0.003980180041311        0.004402199556627   0.000422019515316
   0.733333333333333   0.066666666666667        0.001031898529229        0.001950332491202   0.000918433961973
   0.733333333333333   0.200000000000000        0.002653453360874        0.003407183459585   0.000753730098711
   0.733333333333333   0.333333333333333        0.003685351890103        0.004321252503897   0.000635900613794
   0.733333333333333   0.466666666666667        0.004127594116915        0.004659601647149   0.000532007530234
   0.733333333333333   0.600000000000000        0.003980180041311        0.004402199556627   0.000422019515316
   0.733333333333333   0.733333333333333        0.003243109663290        0.003539386811434   0.000296277148144

Maximum error: 0.001272284891747
