                   t                   x                   y            f(t,x,y)             Fourier               Error
   0.100000000000000    0.111111111111111    0.111111111111111    0.007621703818783    0.009457182344572    0.240822599438398
   0.100000000000000    0.333333333333333    0.111111111111111    0.038584875582590    0.043044112565422    0.115569557125760
   0.100000000000000    0.555555555555556    0.111111111111111    0.047635648867395    0.052292952753758    0.097769296673749
   0.100000000000000    0.777777777777778    0.111111111111111    0.023341467945023    0.025503171998014    0.097769296673749
   0.100000000000000    0.111111111111111    0.333333333333333    0.007621703818783    0.009457182344572    0.097769296673749
   0.100000000000000    0.333333333333333    0.333333333333333    0.038584875582590    0.043044112565422    0.097769296673749
   0.100000000000000    0.555555555555556    0.333333333333333    0.047635648867395    0.052292952753758    0.097769296673749
   0.100000000000000    0.777777777777778    0.333333333333333    0.023341467945023    0.025503171998014    0.097769296673749
   0.100000000000000    0.111111111111111    0.555555555555556    0.007621703818783    0.009457182344572    0.097769296673749
   0.100000000000000    0.333333333333333    0.555555555555556    0.038584875582590    0.043044112565422    0.097769296673749
   0.100000000000000    0.555555555555556    0.555555555555556    0.047635648867395    0.052292952753758    0.097769296673749
   0.100000000000000    0.777777777777778    0.555555555555556    0.023341467945023    0.025503171998014    0.097769296673749
   0.100000000000000    0.111111111111111    0.777777777777778    0.007621703818783    0.009457182344572    0.097769296673749
   0.100000000000000    0.333333333333333    0.777777777777778    0.038584875582590    0.043044112565422    0.097769296673749
   0.100000000000000    0.555555555555556    0.777777777777778    0.047635648867395    0.052292952753758    0.097769296673749
   0.100000000000000    0.777777777777778    0.777777777777778    0.023341467945023    0.025503171998014    0.097769296673749

Maximum  error: 0.097769296673749
