         xk                   yk                      yk*              
   0.025641025641026   -0.043387790046658   -0.043387790046659
   0.076923076923077   -0.125900584922688   -0.125900584922688
   0.128205128205128   -0.202200875873002   -0.202200875873001
   0.179487179487179   -0.271657634697300   -0.271657634697300
   0.230769230769231   -0.333646283958359   -0.333646283958358
   0.282051282051282   -0.387551539329709   -0.387551539329709
   0.333333333333333   -0.432770414398162   -0.432770414398162
   0.384615384615385   -0.468715392526921   -0.468715392526921
   0.435897435897436   -0.494817770192646   -0.494817770192646
   0.487179487179487   -0.510531175961812   -0.510531175961812
   0.538461538461538   -0.515335268963016   -0.515335268963014
   0.589743589743590   -0.508739620336937   -0.508739620336938
   0.641025641025641   -0.490287780698948   -0.490287780698948
   0.692307692307692   -0.459561536125099   -0.459561536125100
   0.743589743589744   -0.416185354564386   -0.416185354564387
   0.794871794871795   -0.359831023882838   -0.359831023882836
   0.846153846153846   -0.290222481951716   -0.290222481951715
   0.897435897435898   -0.207140838296791   -0.207140838296791
   0.948717948717949   -0.110429585821760   -0.110429585821759
   1.000000000000000    0.000000000000001    0.000000000000001
