          x                   f(x)                  Pn                  err         
  -1.000000000000000    0.038461538461538    0.038461538451177    0.000000000010362
  -0.964912280701754    0.041192281360144    8.268597861828974    8.227405580468830
  -0.929824561403509    0.044219723983994    3.390180006235172    3.345960282251178
  -0.894736842105263    0.047587661481677    0.047587661527420    0.000000000045743
  -0.859649122807018    0.051348105066852   -0.681212309788554    0.732560414855406
  -0.824561403508772    0.055563156274584   -0.326644142886043    0.382207299160627
  -0.789473684210526    0.060307383895757    0.060307383948383    0.000000000052626
  -0.754385964912281    0.065670857420059    0.189411932007507    0.123741074587448
  -0.719298245614035    0.071763042806026    0.147708107661675    0.075945064855649
  -0.684210526315789    0.078717836894898    0.078717836952077    0.000000000057180
  -0.649122807017544    0.086700112077707    0.054026973837530    0.032673138240177
  -0.614035087719298    0.095914270531971    0.073127722162001    0.022786548369970
  -0.578947368421053    0.106615475487301    0.106615475519735    0.000000000032434
  -0.543859649122807    0.119124440859427    0.131541466066204    0.012417025206777
  -0.508771929824561    0.133846914394002    0.143524652979777    0.009677738585775
  -0.473684210526316    0.151299245599329    0.151299245646708    0.000000000047378
  -0.438596491228070    0.172141570414327    0.165616732168169    0.006524838246157
  -0.403508771929825    0.197219861600097    0.191582230778977    0.005637630821120
  -0.368421052631579    0.227616645649433    0.227616645699893    0.000000000050460
  -0.333333333333333    0.264705882352941    0.269355500996659    0.004649618643717
  -0.298245614035088    0.310196677487111    0.314630243086277    0.004433565599166
  -0.263157894736842    0.366125760649087    0.366125760709881    0.000000000060793
  -0.228070175438597    0.434706984211935    0.430286300607207    0.004420683604728
  -0.192982456140351    0.517851450430347    0.513250502742861    0.004600947687486
  -0.157894736842105    0.616040955631399    0.616040955669991    0.000000000038592
  -0.122807017543860    0.726195797943675    0.731470750029548    0.005274952085874
  -0.087719298245614    0.838668043366030    0.844366098291899    0.005698054925869
  -0.052631578947368    0.935233160621761    0.935233160658438    0.000000000036677
  -0.017543859649123    0.992364080635308    0.986056775070842    0.006307305564467
   0.017543859649123    0.992364080635309    0.986056775069682    0.006307305565626
   0.052631578947368    0.935233160621762    0.935233160656716    0.000000000034954
   0.087719298245614    0.838668043366030    0.844366098293625    0.005698054927595
   0.122807017543860    0.726195797943675    0.731470750037993    0.005274952094318
   0.157894736842105    0.616040955631399    0.616040955684910    0.000000000053511
   0.192982456140351    0.517851450430348    0.513250502759882    0.004600947670466
   0.228070175438596    0.434706984211935    0.430286300620101    0.004420683591833
   0.263157894736842    0.366125760649087    0.366125760714596    0.000000000065509
   0.298245614035088    0.310196677487111    0.314630243084146    0.004433565597035
   0.333333333333333    0.264705882352941    0.269355500994219    0.004649618641278
   0.368421052631579    0.227616645649433    0.227616645704585    0.000000000055153
   0.403508771929824    0.197219861600097    0.191582230792910    0.005637630807187
   0.438596491228070    0.172141570414327    0.165616732184610    0.006524838229716
   0.473684210526316    0.151299245599329    0.151299245653662    0.000000000054332
   0.508771929824561    0.133846914394002    0.143524652970883    0.009677738576881
   0.543859649122807    0.119124440859427    0.131541466052187    0.012417025192761
   0.578947368421053    0.106615475487301    0.106615475528195    0.000000000040895
   0.614035087719298    0.095914270531971    0.073127722215004    0.022786548316967
   0.649122807017544    0.086700112077707    0.054026973913251    0.032673138164456
   0.684210526315789    0.078717836894898    0.078717836963296    0.000000000068398
   0.719298245614035    0.071763042806026    0.147708107507039    0.075945064701014
   0.754385964912281    0.065670857420059    0.189411931732830    0.123741074312771
   0.789473684210526    0.060307383895757    0.060307383941791    0.000000000046035
   0.824561403508772    0.055563156274584   -0.326644141978359    0.382207298252943
   0.859649122807017    0.051348105066852   -0.681212307962449    0.732560413029301
   0.894736842105263    0.047587661481677    0.047587661559586    0.000000000077909
   0.929824561403509    0.044219723983994    3.390179997408919    3.345960273424924
   0.964912280701754    0.041192281360144    8.268597839315836    8.227405557955692
