          x                   f(x)                  Ln                  err         
  -1.000000000000000    0.038461538461538    0.038461538461538    0.000000000000000
  -0.964912280701754    0.041192281360144    8.268597846263766    8.227405564903622
  -0.929824561403509    0.044219723983994    3.390179999977267    3.345960275993272
  -0.894736842105263    0.047587661481677    0.047587661481677    0.000000000000000
  -0.859649122807018    0.051348105066852   -0.681212308515596    0.732560413582448
  -0.824561403508772    0.055563156274584   -0.326644142258025    0.382207298532609
  -0.789473684210526    0.060307383895757    0.060307383895757    0.000000000000000
  -0.754385964912281    0.065670857420059    0.189411931734334    0.123741074314275
  -0.719298245614035    0.071763042806026    0.147708107470057    0.075945064664031
  -0.684210526315789    0.078717836894898    0.078717836894898    0.000000000000000
  -0.649122807017544    0.086700112077707    0.054026973845200    0.032673138232507
  -0.614035087719298    0.095914270531971    0.073127722162689    0.022786548369282
  -0.578947368421053    0.106615475487301    0.106615475487301    0.000000000000000
  -0.543859649122807    0.119124440859427    0.131541466011293    0.012417025151866
  -0.508771929824561    0.133846914394002    0.143524652923019    0.009677738529018
  -0.473684210526316    0.151299245599329    0.151299245599329    0.000000000000000
  -0.438596491228070    0.172141570414327    0.165616732128045    0.006524838286281
  -0.403508771929825    0.197219861600097    0.191582230737219    0.005637630862878
  -0.368421052631579    0.227616645649433    0.227616645649433    0.000000000000000
  -0.333333333333333    0.264705882352941    0.269355500936921    0.004649618583979
  -0.298245614035088    0.310196677487111    0.314630243022487    0.004433565535376
  -0.263157894736842    0.366125760649087    0.366125760649087    0.000000000000000
  -0.228070175438597    0.434706984211935    0.430286300554220    0.004420683657714
  -0.192982456140351    0.517851450430347    0.513250502698381    0.004600947731966
  -0.157894736842105    0.616040955631399    0.616040955631399    0.000000000000000
  -0.122807017543860    0.726195797943675    0.731470749993256    0.005274952049581
  -0.087719298245614    0.838668043366030    0.844366098255559    0.005698054889529
  -0.052631578947368    0.935233160621761    0.935233160621761    0.000000000000000
  -0.017543859649123    0.992364080635308    0.986056775034790    0.006307305600519
   0.017543859649123    0.992364080635309    0.986056775034790    0.006307305600519
   0.052631578947368    0.935233160621762    0.935233160621762    0.000000000000000
   0.087719298245614    0.838668043366030    0.844366098255559    0.005698054889529
   0.122807017543860    0.726195797943675    0.731470749993256    0.005274952049582
   0.157894736842105    0.616040955631399    0.616040955631399    0.000000000000000
   0.192982456140351    0.517851450430348    0.513250502698382    0.004600947731966
   0.228070175438596    0.434706984211935    0.430286300554220    0.004420683657715
   0.263157894736842    0.366125760649087    0.366125760649087    0.000000000000000
   0.298245614035088    0.310196677487111    0.314630243022487    0.004433565535376
   0.333333333333333    0.264705882352941    0.269355500936921    0.004649618583979
   0.368421052631579    0.227616645649433    0.227616645649433    0.000000000000000
   0.403508771929824    0.197219861600097    0.191582230737219    0.005637630862878
   0.438596491228070    0.172141570414327    0.165616732128045    0.006524838286282
   0.473684210526316    0.151299245599329    0.151299245599329    0.000000000000000
   0.508771929824561    0.133846914394002    0.143524652923019    0.009677738529018
   0.543859649122807    0.119124440859427    0.131541466011293    0.012417025151866
   0.578947368421053    0.106615475487301    0.106615475487301    0.000000000000000
   0.614035087719298    0.095914270531971    0.073127722162689    0.022786548369283
   0.649122807017544    0.086700112077707    0.054026973845198    0.032673138232509
   0.684210526315789    0.078717836894898    0.078717836894898    0.000000000000000
   0.719298245614035    0.071763042806026    0.147708107470058    0.075945064664033
   0.754385964912281    0.065670857420059    0.189411931734344    0.123741074314285
   0.789473684210526    0.060307383895757    0.060307383895757    0.000000000000000
   0.824561403508772    0.055563156274584   -0.326644142258024    0.382207298532607
   0.859649122807017    0.051348105066852   -0.681212308515651    0.732560413582503
   0.894736842105263    0.047587661481677    0.047587661481677    0.000000000000000
   0.929824561403509    0.044219723983994    3.390179999977815    3.345960275993821
   0.964912280701754    0.041192281360144    8.268597846264150    8.227405564904005
